time,pitch,Syllable1,Syllable2,Normtime,speaker,pitch_con
14,121.624606,3,4,_HLCD5,s1,_HLCD5_s1_2
15,82.90648762,3,4,_HLCD5,s1,_HLCD5_s1_2
16,47.97667734,3,4,_HLCD5,s1,_HLCD5_s1_2
17,16.80664725,3,4,_HLCD5,s1,_HLCD5_s1_2
18,-10.19289316,3,4,_HLCD5,s1,_HLCD5_s1_2
19,-30.81724634,3,4,_HLCD5,s1,_HLCD5_s1_2
20,-48.62748621,3,4,_HLCD5,s1,_HLCD5_s1_2
21,-63.77366576,3,4,_HLCD5,s1,_HLCD5_s1_2
22,-75.49079894,3,4,_HLCD5,s1,_HLCD5_s1_2
23,-86.18118769,3,4,_HLCD5,s1,_HLCD5_s1_2
24,-96.38610278,3,4,_HLCD5,s1,_HLCD5_s1_2
25,-106.2768314,3,4,_HLCD5,s1,_HLCD5_s1_2
26,-106.3724668,3,4,_HLCD5,s1,_HLCD5_s1_2
27,-108.8412312,3,4,_HLCD5,s1,_HLCD5_s1_2
28,-114.6565841,3,4,_HLCD5,s1,_HLCD5_s1_2
29,-124.5345431,3,4,_HLCD5,s1,_HLCD5_s1_2
30,-127.648501,3,4,_HLCD5,s1,_HLCD5_s1_2
1,-57.58753833,3,2,_LLCB3,s3,_LLCB3_s3_1
2,-61.01873791,3,2,_LLCB3,s3,_LLCB3_s3_1
3,-64.45614432,3,2,_LLCB3,s3,_LLCB3_s3_1
4,-67.91425865,3,2,_LLCB3,s3,_LLCB3_s3_1
5,-70.81588206,3,2,_LLCB3,s3,_LLCB3_s3_1
6,-73.06743695,3,2,_LLCB3,s3,_LLCB3_s3_1
7,-75.69460192,3,2,_LLCB3,s3,_LLCB3_s3_1
8,-78.48907778,3,2,_LLCB3,s3,_LLCB3_s3_1
9,-78.67930365,3,2,_LLCB3,s3,_LLCB3_s3_1
10,-78.20607376,3,2,_LLCB3,s3,_LLCB3_s3_1
11,-75.27315429,3,2,_LLCB3,s3,_LLCB3_s3_1
12,-71.15896131,3,2,_LLCB3,s3,_LLCB3_s3_1
13,-65.14711379,3,2,_LLCB3,s3,_LLCB3_s3_1
14,-57.98599853,3,2,_LLCB3,s3,_LLCB3_s3_1
15,-50.103216,3,2,_LLCB3,s3,_LLCB3_s3_1
16,-42.08231546,3,2,_LLCB3,s3,_LLCB3_s3_1
17,-34.1214527,3,2,_LLCB3,s3,_LLCB3_s3_1
18,-27.20632005,3,2,_LLCB3,s3,_LLCB3_s3_1
19,-20.91614341,3,2,_LLCB3,s3,_LLCB3_s3_1
20,-16.04264019,3,2,_LLCB3,s3,_LLCB3_s3_1
21,-12.41225514,3,2,_LLCB3,s3,_LLCB3_s3_1
22,-9.854903373,3,2,_LLCB3,s3,_LLCB3_s3_1
23,-8.461341424,3,2,_LLCB3,s3,_LLCB3_s3_1
24,-7.420668515,3,2,_LLCB3,s3,_LLCB3_s3_1
25,-7.161038725,3,2,_LLCB3,s3,_LLCB3_s3_1
26,-6.911829178,3,2,_LLCB3,s3,_LLCB3_s3_1
27,-6.692346145,3,2,_LLCB3,s3,_LLCB3_s3_1
28,-6.253731321,3,2,_LLCB3,s3,_LLCB3_s3_1
29,-5.557003051,3,2,_LLCB3,s3,_LLCB3_s3_1
30,-4.280235723,3,2,_LLCB3,s3,_LLCB3_s3_1
1,-2.742591283,3,2,_LLCB3,s3,_LLCB3_s3_2
2,0.3069254,3,2,_LLCB3,s3,_LLCB3_s3_2
3,3.930506462,3,2,_LLCB3,s3,_LLCB3_s3_2
4,8.095710523,3,2,_LLCB3,s3,_LLCB3_s3_2
5,12.90838469,3,2,_LLCB3,s3,_LLCB3_s3_2
6,18.09265038,3,2,_LLCB3,s3,_LLCB3_s3_2
7,23.62647033,3,2,_LLCB3,s3,_LLCB3_s3_2
8,29.75805116,3,2,_LLCB3,s3,_LLCB3_s3_2
9,36.96207997,3,2,_LLCB3,s3,_LLCB3_s3_2
10,45.23881339,3,2,_LLCB3,s3,_LLCB3_s3_2
11,55.18378873,3,2,_LLCB3,s3,_LLCB3_s3_2
12,67.11718194,3,2,_LLCB3,s3,_LLCB3_s3_2
13,80.04000782,3,2,_LLCB3,s3,_LLCB3_s3_2
14,93.9205639,3,2,_LLCB3,s3,_LLCB3_s3_2
15,107.6947004,3,2,_LLCB3,s3,_LLCB3_s3_2
16,120.2051924,3,2,_LLCB3,s3,_LLCB3_s3_2
17,131.2743988,3,2,_LLCB3,s3,_LLCB3_s3_2
18,138.8589291,3,2,_LLCB3,s3,_LLCB3_s3_2
19,143.8522765,3,2,_LLCB3,s3,_LLCB3_s3_2
20,146.5913478,3,2,_LLCB3,s3,_LLCB3_s3_2
21,146.3406873,3,2,_LLCB3,s3,_LLCB3_s3_2
22,145.2711894,3,2,_LLCB3,s3,_LLCB3_s3_2
23,143.6984441,3,2,_LLCB3,s3,_LLCB3_s3_2
24,141.6679442,3,2,_LLCB3,s3,_LLCB3_s3_2
25,141.0768973,3,2,_LLCB3,s3,_LLCB3_s3_2
26,140.8525523,3,2,_LLCB3,s3,_LLCB3_s3_2
27,140.6424822,3,2,_LLCB3,s3,_LLCB3_s3_2
28,141.0381951,3,2,_LLCB3,s3,_LLCB3_s3_2
29,141.2924693,3,2,_LLCB3,s3,_LLCB3_s3_2
30,141.2924693,3,2,_LLCB3,s3,_LLCB3_s3_2
1,-99.66918813,3,4,_HLCD5,s3,_HLCD5_s3_1
2,-112.9676445,3,4,_HLCD5,s3,_HLCD5_s3_1
3,-127.7134417,3,4,_HLCD5,s3,_HLCD5_s3_1
4,-145.0450381,3,4,_HLCD5,s3,_HLCD5_s3_1
5,-157.3880101,3,4,_HLCD5,s3,_HLCD5_s3_1
6,-168.4563632,3,4,_HLCD5,s3,_HLCD5_s3_1
7,-187.812493,3,4,_HLCD5,s3,_HLCD5_s3_1
8,-205.3100475,3,4,_HLCD5,s3,_HLCD5_s3_1
9,-220.397988,3,4,_HLCD5,s3,_HLCD5_s3_1
10,-229.1478933,3,4,_HLCD5,s3,_HLCD5_s3_1
11,-234.9495977,3,4,_HLCD5,s3,_HLCD5_s3_1
12,-233.5257498,3,4,_HLCD5,s3,_HLCD5_s3_1
13,-228.0971337,3,4,_HLCD5,s3,_HLCD5_s3_1
14,-218.8519982,3,4,_HLCD5,s3,_HLCD5_s3_1
15,-202.7847596,3,4,_HLCD5,s3,_HLCD5_s3_1
16,-184.5839709,3,4,_HLCD5,s3,_HLCD5_s3_1
17,-162.621033,3,4,_HLCD5,s3,_HLCD5_s3_1
