1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration,tone,pitch_con,numPoints,previous_tone,this_tone,tone,sort
-2.558329562,14.1574215,-10.7313646,222.2956375,meng_2_108,2,108,177.27273,-14.25221246,44.49057595,-19.02378299,222.2956375,meng_2_108,10,-2.093773658,26,185.8795393,2,meng_2_108,14,5,2,2,108
5.297562195,-36.10183227,36.22395048,232.432377,meng_3_109,3,109,150,17.87927241,-81.2291226,54.33592572,232.432377,meng_3_109,96,-19.15998668,11,201.6231497,3,meng_3_109,12,2,3,3,109
35.74024796,-92.59901368,21.29332128,242.1039279,meng_4_110,4,110,68.18182,11.3282632,-43.04706444,14.51817398,242.1039279,meng_4_110,-61,-3.064572359,78,99.56428374,4,meng_4_110,6,3,4,4,110
16.21735961,-39.93419224,37.4089797,227.773371,meng_2_112,2,112,163.63636,71.05907961,-106.9312208,61.2146927,227.773371,meng_2_112,7,-0.696742315,70,177.6861052,2,meng_2_112,13,4,2,2,112
-58.92692197,93.13554778,-46.55303847,252.3513432,meng_2_114,2,114,109.09091,-76.50317334,110.8390009,-50.7851333,252.3513432,meng_2_114,22,-3.907974547,27,116.2397502,2,meng_2_114,9,empty,2,2,114
-122.6454762,162.5743166,-95.61541668,258.8909659,meng_3_116,3,116,81.81818,-67.17396405,108.830736,-78.23079373,258.8909659,meng_3_116,-38,-2.892633771,80,94.54991368,3,meng_3_116,7,2,3,3,116
-8.352716311,21.09475954,-16.97428818,255.0872273,meng_1_120,1,120,150,-28.19041755,47.46320897,-25.46143227,255.0872273,meng_1_120,-24,-0.119744337,20,155.3684703,1,meng_1_120,12,empty,1,1,120
-22.86262142,59.53874893,-42.59185458,249.9193712,meng_2_121,2,121,150,-77.16134728,133.9621851,-63.88778186,249.9193712,meng_2_121,16,-0.560830439,16,167.7637257,2,meng_2_121,12,1,2,2,121
-92.05702188,130.4635537,-85.05328027,281.664722,meng_4_123,4,123,95.45455,-80.06575896,118.8727947,-81.18722595,281.664722,meng_4_123,-68,-2.402921028,80,94.9328379,4,meng_4_123,8,2,4,4,123
-5.615578011,27.49341912,-64.50120435,267.0315159,meng_4_127,4,127,136.36363,-14.23934871,51.1241217,-87.95618364,267.0315159,meng_4_127,-17,-3.685399921,43,147.4208159,4,meng_4_127,11,empty,4,4,127
-4.584262969,-2.592960021,33.03245778,206.0480561,meng_4_128,4,128,163.63636,-20.08671664,-6.94313231,54.05311153,206.0480561,meng_4_128,-14,-1.4140276,34,163.8631821,4,meng_4_128,13,4,4,4,128
-16.29960295,17.03961451,-3.408796499,242.6003911,meng_2_130,2,130,109.09091,-21.16131826,20.27854984,-3.718687121,242.6003911,meng_2_130,45,-3.450123022,28,121.9549562,2,meng_2_130,9,empty,2,2,130
40.1975886,-52.87571768,-15.89764711,244.6751859,meng_3_132,3,132,81.81818,22.01655908,-35.39614002,-13.00716553,244.6751859,meng_3_132,-19,-3.176022087,78,88.53647557,3,meng_3_132,7,2,3,3,132
-6.847018235,13.48839932,-13.74141054,258.5587668,meng_1_135,1,135,95.45455,-5.955131944,12.29005097,-13.1168016,258.5587668,meng_1_135,-24,-0.990492403,80,99.86547299,1,meng_1_135,8,5,1,1,135
-4.104485202,-3.621593458,-5.337829092,251.8345498,meng_4_136,4,136,109.09091,-5.328738247,-4.309995592,-5.82308633,251.8345498,meng_4_136,-94,-4.684947722,61,116.5520922,4,meng_4_136,9,1,4,4,136
-275.7500988,845.6843204,-790.5412595,334.6834064,meng_3_141,3,141,163.63636,-1208.245281,2264.476923,-1293.612941,334.6834064,meng_3_141,40,-11.4509292,80,172.5265462,3,meng_3_141,12,empty,3,3,141
5.199867268,8.288306261,-14.6900212,113.9766682,meng_2_142,2,142,122.72728,9.612040348,12.48383467,-18.02866345,113.9766682,meng_2_142,-85,-5.741134847,80,126.2794799,2,meng_2_142,10,3,2,2,142
