1st,2nd,3rd,4th,speaker,syl,tone,prev,pitch_con
-2.1365847655741805e-05,0.0008979858943130119,-0.002218591558975277,-0.09463270488144206,s2,2,1,2,_HHBA2_s2_2
5.45930920209623e-05,-0.002065376977858661,-0.0012510369134844292,0.2768493389397114,s2,1,3,none,_HHCD3_s2_1
-5.3527897407018276e-05,0.0011939908064937251,0.02231278558808179,-0.3363519585674562,s2,2,4,3,_HHCD3_s2_2
-5.225507309319595e-05,0.0019247772784833335,0.004667003683928682,-0.3023357567170159,s2,2,1,3,_HLCA1_s2_2
6.185064510890122e-05,-0.002595777520931866,0.005983656955750661,0.27956734124382004,s2,1,3,none,_HLCA1_s2_1
1.1492020296048589e-05,-0.0006788687402258897,0.005377614051958838,0.04777504387206089,s2,2,4,4,_LHDD5_s2_2
-3.937123769115973e-06,-0.00034885694243759377,0.015846643853574954,-0.1072980804729268,s2,1,4,none,_LHDD5_s2_1
-1.4406549939132296e-05,0.0005897302446581829,-0.0014068871002647534,-0.06022135670103781,s3,2,1,4,_HHDA5_s3_2
2.6167457193483656e-05,-0.001455539712937853,0.013959057213720838,0.05377026499287386,s3,1,4,none,_HHDA5_s3_1
2.2284193784910667e-05,-0.0017087816177911116,0.02895862996257444,-0.07092108458414836,s1,2,4,2,_LLBD2_s1_2
1.7742158196413278e-06,0.00021453061063297335,-0.006776745512591606,0.02463899747394623,s1,1,2,none,_LLBD2_s1_1
9.513492715595082e-06,-0.0007019045975077936,0.0065160759583152966,0.0516492562130011,s1,1,4,none,_HHDA5_s1_1
-7.172980614342364e-06,0.0001469578840489349,0.008200421476785333,-0.12172350156838943,s1,2,1,4,_HHDA5_s1_2
-2.35928156362619e-05,0.0010052145461643778,-0.004881706023353084,-0.071098455739143,s3,1,1,none,_LLAB3_s3_1
-3.0846015608215913e-06,7.074465856238503e-05,-0.00022443573966975526,0.003414661490924472,s1,1,1,none,_HLAA1_s1_1
2.1221453043576198e-05,-0.0015937983842004171,0.023284718635214433,-0.011554637570233704,s1,2,4,2,_HHBD5_s1_2
2.2804029411773282e-06,0.00024130363759927452,-0.01088746534624349,0.07626884555153368,s1,1,2,none,_HHBD5_s1_1
-1.935530125625477e-05,0.001148454540735511,-0.013185485404772367,-0.01807623184338102,s2,1,2,none,_HHBB3_s2_1
1.5343973789662484e-05,-2.3972807355263505e-05,-0.021661124205912156,0.23271116388744667,s2,2,2,2,_HHBB3_s2_2
5.607312156297227e-07,-9.167651159223362e-05,0.0022244889055784687,-0.009627667702965158,s3,1,1,none,_HLAA1_s3_1
-3.520642532176705e-07,-1.414254655440003e-05,0.0007635174254798712,-0.004839757734143331,s3,2,1,1,_HLAA1_s3_2
1.388978535394886e-05,-0.0002713139836326091,-0.00890955300412688,0.1234965674669243,s2,1,3,none,_LLCD4_s2_1
1.1303030560014495e-05,-0.0012479205965881424,0.03680476637789475,-0.25863749692731003,s2,2,4,3,_LLCD4_s2_2
-9.388373512714653e-06,0.0011428662082762348,-0.04357024468974907,0.38281216147560804,s2,2,3,4,_HLDC4_s2_2
-2.2421163202869592e-05,4.542579591022432e-05,0.008315018463131414,0.018401050928440056,s2,1,4,none,_HLDC4_s2_1
-1.1515424823987387e-06,-0.0008243949921683976,0.023097169752542404,-0.08988456702411163,s3,1,4,none,_LHDB2_s3_1
-6.875313960052818e-06,0.0009234468142916292,-0.0202337101696134,0.0721366786918431,s3,2,2,4,_LHDB2_s3_2
1.7147047994671353e-06,-0.0005743410126348961,0.014880131005055641,-0.061987622938423706,s1,2,4,4,_HLDD3_s1_2
-2.1189958450335773e-05,0.00016001246942919429,0.021705748955362286,-0.2341430798924216,s3,2,4,3,_HHCD1_s3_2
-5.011954706442171e-06,0.00013058667298422285,0.0011086031879487836,-0.02221625230205178,s3,1,1,none,_HHAB3_s3_1
2.6822750553876975e-05,-0.0007689521672715566,-0.009553820686174531,0.1971073374037227,s3,2,2,1,_HHAB3_s3_2
5.933844510528634e-05,-0.00256271838534269,0.012445329409910218,0.1870989621638788,s3,1,3,none,_HHCD1_s3_1
-7.1933112362997615e-06,-0.00012935515002672745,0.009110243132496334,-0.04859454636797237,s1,2,4,4,_LHDD3_s1_2
2.6504420678659238e-05,-0.0015473644920954675,0.01367544040153899,0.08467777082679777,s1,1,4,none,_HLDA2_s1_1
1.0676791213205069e-05,7.204359766085382e-06,-0.020596098964765577,0.24001598723174647,s1,1,3,none,_HHCD1_s1_1
-1.8836078762192698e-05,8.884379506901097e-06,0.022567881557667688,-0.21684118673993713,s1,2,4,3,_HHCD1_s1_2
-1.5096146781651337e-06,0.0003820080019767101,-0.003756159243109359,-0.05129517256192295,s2,1,2,none,_LHBA4_s2_1
6.7362482824818995e-06,0.0001253843726716758,-0.013326584816124249,0.11849358036691449,s1,2,2,1,_HHAB5_s1_2
-2.9749786587620922e-06,0.0005384290829780826,-0.007559585771050186,-0.031079161184286788,s2,2,2,3,_HLCB4_s2_2
