1st,2nd,3rd,4th,speaker,pitch_con,syl,tone,prevsyl
2.1942041416759522e-05,-0.00013503972933433055,-0.026743654304698668,1.5938499423830998,s2,_LLAB2_s2_2,2,2,1
8.274315308345367e-05,-0.0034848163612223597,0.021388140164820765,1.5877136440581023,s2,_LLAB3_s2_2,2,2,1
8.879709614556822e-06,0.0002223368483508609,-0.02165776712830167,1.49477114574531,s2,_LLAB4_s2_2,2,2,1
2.099440955296148e-05,-0.00046272486582456024,-0.011097778330100802,1.465213807422868,s2,_LLAB5_s2_2,2,2,1
7.039533425832004e-05,-0.002449577837000926,-0.011404393642663229,1.5197714196022183,s2,_LLAC1_s2_2,2,3,1
4.2445087090241896e-05,-0.0014904494791562876,-0.011501672767008416,1.5772200299609238,s2,_LLAC2_s2_2,2,3,1
5.420378723094523e-05,-0.0017325633465589438,-0.021442132745319392,1.557602801365635,s2,_LLAC3_s2_2,2,3,1
2.9128242035914636e-05,-0.000665098063561676,-0.025931990436967246,1.609574509520763,s2,_LLAC4_s2_2,2,3,1
5.8852413617074515e-05,-0.002562410956302385,0.00472136456996066,1.5510566540980673,s2,_LLAC5_s2_2,2,3,1
3.0248096431857053e-05,-0.002167304108827228,0.025158669251023287,1.499576751980721,s2,_LLAD1_s2_2,2,4,1
1.7856469615234036e-05,-0.0013409437471023366,0.01736582069281111,1.4552082041372483,s2,_LLAD2_s2_2,2,4,1
2.2750223118733346e-05,-0.0014040222855141104,0.01222781583579448,1.4651771636421935,s2,_LLAD3_s2_2,2,4,1
1.9695662727247833e-05,-0.0015145490509665984,0.020109833524753942,1.449207519006901,s2,_LLAD4_s2_2,2,4,1
3.164326134369599e-05,-0.0022538989929960594,0.029929238040755375,1.4209113796289823,s2,_LLAD5_s2_2,2,4,1
1.757634799508652e-05,-0.0013182653771399296,0.03180873346397513,1.1937387530865635,s2,_LLBA1_s2_2,2,1,2
-9.049006851182027e-06,0.00016649707557227849,0.00778098739352901,1.191537688772589,s2,_LLBA2_s2_2,2,1,2
1.406788821862311e-05,-0.001213132647106551,0.03017154913830718,1.2479380675784189,s2,_LLBA3_s2_2,2,1,2
7.118309451918302e-07,-0.000403794651097086,0.019479455419906526,1.2247675374550409,s2,_LLBA4_s2_2,2,1,2
1.0706951703136463e-05,-0.000978159419459604,0.024685875672317257,1.2064757576980287,s2,_LLBA5_s2_2,2,1,2
-1.0080209780330463e-05,0.0006734997028095365,-0.00921317709280055,1.3502698941926834,s2,_LLBB1_s2_2,2,2,2
-1.9666371721220527e-05,0.0015845112236109163,-0.03369285354738388,1.4674854022433799,s2,_LLBB2_s2_2,2,2,2
-2.3529131359012366e-06,2.9514505990394436e-05,0.002899276212422814,1.2167430205289465,s2,_LLBB3_s2_2,2,2,2
6.7035400712581736e-06,-0.00016900475364444944,-0.0003326865052599181,1.2587096645010842,s2,_LLBB4_s2_2,2,2,2
4.633314128120987e-06,-0.00010731629365952839,-0.00010258759039140148,1.2339713498864615,s2,_LLBB5_s2_2,2,2,2
8.331292864345989e-05,-0.0036990871165022672,0.017851377900414304,1.3728767920449316,s2,_LLBC1_s2_2,2,3,2
6.125587313236916e-05,-0.00334735644903497,0.03264628162469113,1.190467473871427,s2,_LLBC2_s2_2,2,3,2
8.069095114908026e-05,-0.0042457124754643975,0.0425487430020182,1.337038159230356,s2,_LLBC3_s2_2,2,3,2
7.982470204539672e-05,-0.003948419901504107,0.02944204658643838,1.3127187557451774,s2,_LLBC4_s2_2,2,3,2
0.00010455747341655786,-0.004980063039486429,0.04059895253834495,1.2699557775770765,s2,_LLBC5_s2_2,2,3,2
5.1848109562797266e-05,-0.0032888457736090742,0.049778944450228166,1.1554683477890733,s2,_LLBD1_s2_2,2,4,2
1.830330451310346e-05,-0.001495831319516901,0.028815234591184485,1.101538710670094,s2,_LLBD2_s2_2,2,4,2
2.9236857664139913e-05,-0.0019968694618892236,0.03337057228842465,1.1589117304312828,s2,_LLBD3_s2_2,2,4,2
1.1763116680886248e-05,-0.0011169499583466086,0.02394907976221996,1.1119246756872487,s2,_LLBD4_s2_2,2,4,2
1.829369408705575e-05,-0.0017266715788319376,0.03698232074130302,1.0931705873070459,s2,_LLBD5_s2_2,2,4,2
-4.84590485573419e-05,0.0018706134014108142,-0.0002294034955829603,0.8361635194279085,s2,_LLCA1_s2_2,2,1,3
