1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration_raw,tone,prev_tone,this_tone,tone,sort
-13.70135107,33.23766038,-21.22224161,148.322314,zhong_1_74,1,74,136.36364,-34.74234679,61.80557011,-28.93942114,148.322314,zhong_1_74,-2,2.187882385,80,160.8945741,1,empty,1,1,74
-3.49280022,4.718205113,-5.783097116,145.8686346,zhong_4_75,4,75,163.63637,-15.30429246,12.63387252,-9.463250195,145.8686346,zhong_4_75,-23,0.296249997,11,176.1184581,4,1,4,4,75
-16.81758398,35.89911924,-11.6676116,128.9225517,zhong_2_77,2,77,136.36364,-42.64414009,66.75456413,-15.91037988,128.9225517,zhong_2_77,-76,3.874634185,24,148.0761756,2,4,2,2,77
2.908416815,-8.197014886,-5.093720734,122.7087675,zhong_3_79,3,79,136.36364,7.374836617,-15.24238387,-6.945983004,122.7087675,zhong_3_79,-1,-2.033304852,75,178.5353847,3,empty,3,3,79
-10.19633032,19.19218469,5.623379509,123.2077665,zhong_1_82,1,82,150,-34.41261484,43.18241556,8.435069263,123.2077665,zhong_1_82,6,1.638250269,60,163.5844559,1,5,1,1,82
-6.647874092,6.894078428,-6.341040988,141.8893366,zhong_4_83,4,83,136.36364,-16.85693227,12.81956801,-8.646874305,141.8893366,zhong_4_83,-14,0.072158129,50,147.885886,4,1,4,4,83
10.4730936,-23.79025857,3.667980821,129.0292651,zhong_4_84,4,84,163.63636,45.8896152,-63.7028383,6.002150302,129.0292651,zhong_4_84,39,-7.395337219,13,163.9092628,4,4,4,4,84
-1.802221727,1.717099443,13.33534933,116.7445831,zhong_1_85,1,85,286.36364,-42.32157714,14.08092534,38.18759175,116.7445831,zhong_1_85,-12,-0.074123541,30,292.0184229,1,4,1,1,85
-7.748664538,6.329257733,15.55519332,114.9636724,zhong_2_88,2,88,150,-26.15174282,14.2408299,23.33278998,114.9636724,zhong_2_88,-27,-1.070138226,43,163.339917,2,5r,2,2,88
-20.12455271,63.46578326,-59.02999386,123.1052951,zhong_3_90,3,90,136.36364,-51.02957988,118.0148925,-80.49544832,123.1052951,zhong_3_90,11,-2.841786467,60,160,3,2,3,3,90
227.8063161,-224.8274394,26.14534316,113.5786258,zhong_3_93,3,93,54.54546,36.96933061,-66.89082181,14.2610977,113.5786258,zhong_3_93,-17,-2.852313849,63,80.80031659,3,empty,3,3,93
-1.773174535,10.13031276,-4.264518299,106.8695699,zhong_2_95,2,95,204.54546,-15.17473163,42.38405877,-8.722878571,106.8695699,zhong_2_95,21,-0.181574615,40,217.5867072,2,5,2,2,95
-8.335434427,12.27574698,11.12547732,127.9625522,zhong_1_96,1,96,163.63636,-36.52310318,32.87059377,18.20532612,127.9625522,zhong_1_96,-4,1.65430969,51,177.1889607,1,2,1,1,96
20.80637432,-69.16502445,38.59666612,136.2138441,zhong_4_97,4,97,218.18181,216.0986373,-329.2483562,84.21090473,136.2138441,zhong_4_97,59,-13.81068353,13,223.9284734,4,1,4,4,97
-13.20559657,18.61852902,14.60709977,108.5287408,zhong_2_98,2,98,150,-44.56888842,41.8916903,21.91064965,108.5287408,zhong_2_98,-5,-0.447970193,80,154.3335452,2,4,2,2,98
10.13718997,-12.24853464,-10.82956104,100.7657731,zhong_3_100,3,100,81.81818,5.552224639,-8.199431916,-8.860549748,100.7657731,zhong_3_100,96,-3.923719546,80,84.6149575,3,empty,3,3,100
-26.47078373,57.8896884,-46.75492462,111.6189799,zhong_3_104,3,104,95.45455,-23.02272381,52.74660127,-44.6297029,111.6189799,zhong_3_104,52,-4.349863253,41,123.4615041,3,empty,3,3,104
-1466.714395,3131.076324,-2048.13165,509.7329689,zhong_2_106,2,106,109.09091,-1904.194243,3726.239654,-2234.325455,509.7329689,zhong_2_106,-14,-2.320338938,60,112.1222479,2,3,2,2,106
0.663192446,3.80315075,-7.139804092,116.2093442,zhong_2_107,2,107,150,2.238274506,8.557089187,-10.70970614,116.2093442,zhong_2_107,2,-1.845632802,70,151.1363325,2,2,2,2,107
3.92218439,-12.79445497,10.43166231,115.9723819,zhong_2_108,2,108,122.72727,7.250220718,-19.27098607,12.80249436,115.9723819,zhong_2_108,-61,1.063821502,24,125.4788366,2,2,2,2,108
-572.3083388,1915.230792,-2003.797448,740.0140616,zhong_3_110,3,110,122.72727,-1057.921138,2884.717324,-2459.205905,740.0140616,zhong_3_110,-9,-5.206933986,30,141.8380577,3,5,3,3,110
0.487458056,3.833987481,-4.61164791,99.15882616,zhong_2_113,2,113,150,1.645170939,8.626471832,-6.917471865,99.15882616,zhong_2_113,5,-2.894815037,28,152.964886,2,empty,2,2,113
-6.052626445,5.465842598,13.54500275,114.1401068,zhong_2_115,2,115,109.09091,-7.857955492,6.504804522,14.77636676,114.1401068,zhong_2_115,-10,-0.759364085,70,122.0512618,2,empty,2,2,115
2.337390074,1.298069504,-19.58346177,120.638739,zhong_3_117,3,117,150,7.888691499,2.920656385,-29.37519265,120.638739,zhong_3_117,-24,-5.101382398,60,164.6747888,3,empty,3,3,117
39.86450727,-20.01693896,-27.98037235,127.9612481,zhong_4_120,4,120,68.18182,12.63549237,-9.305395672,-19.07752711,127.9612481,zhong_4_120,-54,-2.765707786,80,96.89211702,4,5,4,4,120
-2.82264932,16.79093306,-19.07080233,114.5737025,zhong_3_122,3,122,136.36364,-7.157357039,31.22281107,-26.00564023,114.5737025,zhong_3_122,5,-2.225433299,70,171.2818336,3,4,3,3,122
-23.41427955,20.30419091,15.80763434,112.6115594,zhong_1_123,1,123,109.09091,-30.39810374,24.16366562,17.24469215,112.6115594,zhong_1_123,-7,-0.490788194,70,119.5038182,1,3,1,1,123
-4.667168933,21.08835384,-24.72009741,125.03167,zhong_2_125,2,125,190.90909,-32.47381733,76.85920625,-47.19291302,125.03167,zhong_2_125,12,-0.860715173,40,207.6420245,2,1,2,2,125
51.6124462,-23.37791374,-17.14500969,130.8972118,zhong_4_127,4,127,54.54545,8.375871971,-6.955411193,-9.351822687,130.8972118,zhong_4_127,-26,-0.851882591,80,74.35977401,4,2,4,4,127
1.205322054,-3.138548828,3.841971648,121.9409697,zhong_1_128,1,128,190.90909,8.386541984,-11.43884314,7.33467311,121.9409697,zhong_1_128,1,-0.54906068,80,194.7467869,1,4,1,1,128
1.995091613,-9.307281706,10.65283697,125.6052441,zhong_1_130,1,130,259.09091,34.6991928,-62.47801338,27.60053224,125.6052441,zhong_1_130,-43,4.315333044,10,272.6359416,1,1,1,1,130
-2.152529242,3.662831934,-0.00642817,127.2903461,zhong_1_134,1,134,190.90909,-14.97713976,13.34966006,-0.01227196,127.2903461,zhong_1_134,-4,-0.245676317,80,194.6144624,1,empty,1,1,134
8.635092335,-35.97081934,33.81670495,125.371953,zhong_1_135,1,135,177.27273,48.10528417,-113.0405329,59.94779606,125.371953,zhong_1_135,-20,-1.278866157,73,183.6563845,1,1,1,1,135
-7.584236899,-9.707541209,388.0976998,30.64732028,zhong_3_136,3,136,640.90909,-1996.646512,-398.7512938,2487.353436,30.64732028,zhong_3_136,1,-1.145353376,19,649.7690911,3,1,3,3,136
-47.52637983,104.4844766,-60.461531,122.4779827,zhong_2_137,2,137,122.72728,-87.85329643,157.3743645,-74.20279244,122.4779827,zhong_2_137,14,-1.418608376,70,129.929935,2,3,2,2,137
61.61044344,-59.56162144,-15.7074314,118.2576717,zhong_3_139,3,139,81.81818,33.74456068,-39.87182746,-12.85153449,118.2576717,zhong_3_139,-18,-4.264622901,80,98.89913523,3,2,3,3,139
-30.28267004,75.01582738,-55.66178527,142.3015285,zhong_4_142,4,142,136.36363,-76.78737572,139.492228,-75.90243091,142.3015285,zhong_4_142,-4,0.167830637,80,142.306974,4,empty,4,4,142
3.667051175,-1.773522785,-3.909752542,129.7468764,zhong_4_143,4,143,136.36364,9.298496399,-3.297873123,-5.331480881,129.7468764,zhong_4_143,38,-1.627720537,20,143.7674455,4,4,4,4,143
1.803895736,-10.36661106,1.82310499,132.9848513,zhong_4_144,4,144,231.81819,22.47263322,-55.70982907,4.226288991,132.9848513,zhong_4_144,-23,-3.605342307,38,242.3965148,4,4,4,4,144
168.0547273,-96.57672344,-36.36585786,117.8734997,zhong_3_146,3,146,54.54545,27.27258604,-28.73356582,-19.83592082,117.8734997,zhong_3_146,80,-10.4037488,30,66.15954588,3,empty,3,3,146
-3.120709349,10.24257253,3.773647484,95.21802544,zhong_2_147,2,147,218.18182,-32.41223675,48.75803202,8.233412761,95.21802544,zhong_2_147,8,-1.259603834,31,221.8404541,2,3,2,2,147
2.127291144,-9.059999257,-4.496520826,109.5030566,zhong_3_149,3,149,81.81818,1.165135342,-6.064957911,-3.678971503,109.5030566,zhong_3_149,46,-2.37054987,80,96.1533608,3,empty,3,3,149
-25.68253809,50.02919612,-22.60416498,131.7379682,zhong_4_153,4,153,95.45455,-22.33715432,45.58445783,-21.57670397,131.7379682,zhong_4_153,-2,0.71563178,80,105.2338767,4,empty,4,4,153
13.88932996,-29.17552677,10.90584947,134.8143555,zhong_1_154,1,154,122.72727,25.67464909,-43.94412824,13.38445132,134.8143555,zhong_1_154,99,-4.823382508,20,129.9376764,1,4,1,1,154
-114.1606533,190.9298539,-104.3595616,159.483861,zhong_1_156,1,156,95.45455,-99.29019174,173.9670942,-99.6159499,159.483861,zhong_1_156,-37,0.37251187,80,119.3478287,1,1,1,1,156
-9.798951738,31.71394884,-41.47763851,132.6197886,zhong_3_157,3,157,150,-33.07146211,71.35638489,-62.21645776,132.6197886,zhong_3_157,-3,-2.418413197,68,159.2355768,3,1,3,3,157
-15.70571166,8.466292402,13.58499467,115.8763362,zhong_2_158,2,158,122.72727,-29.03225976,12.75191505,16.67249309,115.8763362,zhong_2_158,34,2.418637864,30,140.297598,2,3,2,2,158
-16.70199645,64.38400441,-73.33313127,155.4853966,zhong_1_160,1,160,218.18182,-173.4698758,306.48915,-159.9995605,155.4853966,zhong_1_160,1,0.489514478,80,218.4439447,1,2,1,1,160
-5.81948037,11.18330777,7.429236855,117.9741098,zhong_2_162,2,162,190.90909,-40.49151535,40.75899737,14.18308847,117.9741098,zhong_2_162,-13,0.257780684,37,202.5597577,2,5,2,2,162
-5.714899032,22.33246829,-25.13169677,124.8605421,zhong_2_164,2,164,218.18182,-59.35594755,106.3099335,-54.8327934,124.8605421,zhong_2_164,12,-1.017631289,40,226.9219315,2,2,2,2,164
13.20166012,-26.1897723,13.513123,122.6527905,zhong_3_166,3,166,95.45455,11.48202403,-23.86299728,12.89889075,122.6527905,zhong_3_166,3,0.012134761,37,102.5464091,3,empty,3,3,166
0.674341005,-24.52312004,41.32635287,145.7966033,zhong_4_168,4,168,177.27273,3.756690076,-77.06542714,73.26035394,145.7966033,zhong_4_168,-22,2.654273128,70,178.3304275,4,3,4,4,168
-28.08791733,44.9831481,-30.02388876,120.5450372,zhong_3_170,3,170,109.09091,-36.46575685,53.53366475,-32.75333346,120.5450372,zhong_3_170,18,-2.169943206,80,148.0087923,3,empty,3,3,170
-0.338746659,2.70564567,-12.86084435,136.2177479,zhong_4_174,4,174,150,-1.143269975,6.087702757,-19.29126652,136.2177479,zhong_4_174,-2,-1.83429633,21,168.2954317,4,5,4,4,174
0.015771155,-5.60777995,8.19360047,121.6307183,zhong_4_176,4,176,190.90909,0.109734537,-20.43827219,15.6423281,121.6307183,zhong_4_176,-15,-1.876428472,50,198.5712004,4,4,4,4,176
-39.74935378,106.5358165,-90.02131116,135.7037123,zhong_4_178,4,178,150,-134.154069,239.7055872,-135.0319667,135.7037123,zhong_4_178,0,-2.581621467,42,170.3457049,4,empty,4,4,178
-0.466094675,2.732434332,-11.33431546,122.9349321,zhong_4_179,4,179,259.09091,-8.106449294,18.34231241,-29.36618106,122.9349321,zhong_4_179,-12,-3.572753439,30,284.1247476,4,4,4,4,179
8.261404902,-12.39654433,7.603666836,104.4515272,zhong_3_180,3,180,109.09091,10.72555073,-14.75291251,8.294909345,104.4515272,zhong_3_180,20,-1.672673196,33,132.1555135,3,4,3,3,180
649.1918171,-941.6388523,421.8386472,59.93478468,zhong_4_182,4,182,68.18182,205.7684596,-437.7453576,287.6172671,59.93478468,zhong_4_182,-64,-15.60957225,12,83.45169977,4,3,4,4,182
1.842220695,75.81210731,-82.10751391,120.4569895,zhong_3_184,3,184,95.45454,1.602254219,69.07672625,-78.3753497,120.4569895,zhong_3_184,30,-3.230668704,80,98.29459211,3,empty,3,3,184
-3.875037704,12.30944659,-7.40925102,111.5823342,zhong_1_187,1,187,177.27273,-21.58746921,38.68320009,-13.13458156,111.5823342,zhong_1_187,3,-1.940813302,40,192.3067216,1,empty,1,1,187
-2.112974275,5.504800563,-5.818089658,115.0192909,zhong_1_188,1,188,218.18181,-21.94571983,26.20466849,-12.69401332,115.0192909,zhong_1_188,-7,-3.193970024,30,220.7670796,1,1,1,1,188
0.138654963,4.692913917,-4.412566269,106.9010916,zhong_3_189,3,189,150,0.467960499,10.55905631,-6.618849404,106.9010916,zhong_3_189,38,-0.311490892,7,190.7693046,3,1,3,3,189
7.68417751,-7.006473527,-17.82345878,132.5755052,zhong_4_190,4,190,68.18182,2.435584257,-3.257141793,-12.15235858,132.5755052,zhong_4_190,-48,-1.724595333,80,92.30722637,4,3,4,4,190
65.35909068,-42.0774422,-24.67324718,122.1592814,zhong_3_192,3,192,68.18181,20.71627081,-19.56078972,-16.82266652,122.1592814,zhong_3_192,-40,-3.34212955,80,68.90435208,3,4,3,3,192
2.698692922,-8.921454048,8.132349882,117.5044135,zhong_1_195,1,195,122.72727,4.988577127,-13.43747874,9.980610997,117.5044135,zhong_1_195,-11,-1.356722744,60,130.7685707,1,empty,1,1,195
