time,pitch,pitch_con,duration,artist,role_type,shengqiang,tone,word
2,514.8922119140625,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
3,525.7114868164062,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
4,531.5130615234375,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
5,528.7570190429688,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
6,514.0006713867188,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
7,499.9448547363281,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
8,496.2046813964844,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
9,525.1044921875,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
10,521.4772338867188,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
11,525.4078979492188,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
12,425.0389709472656,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
13,431.9693908691406,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
14,433.7196044921875,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
15,436.4842529296875,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
16,437.49395751953125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
17,438.75933837890625,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
18,439.7742919921875,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
19,439.52032470703125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
20,443.3451232910156,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
21,443.601318359375,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
22,443.089111328125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
23,445.91351318359375,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
24,446.6869201660156,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
25,444.6274719238281,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
26,439.52032470703125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
27,427.99542236328125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
28,431.22149658203125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
29,438.25274658203125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
30,442.833251953125,2_6_8,0.96733139114707,Chen Junjie,J,X,2,ye2
1,335.98992919921875,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
2,334.0546875,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
3,331.3641052246094,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
4,330.0269470214844,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
5,333.6689758300781,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
6,339.109619140625,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
7,349.0466003417969,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
8,353.5105895996094,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
9,354.9429016113281,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
10,356.9991455078125,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
11,361.56488037109375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
12,368.31036376953125,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
13,372.8053283691406,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
14,373.667724609375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
15,373.020751953125,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
16,370.87225341796875,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
17,365.76617431640625,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
18,359.89788818359375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
19,357.2054443359375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
20,356.38104248046875,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
21,355.14801025390625,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
22,353.7148742675781,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
23,353.91925048828125,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
24,355.35321044921875,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
25,357.2054443359375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
26,359.2747802734375,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
27,363.23956298828125,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
28,365.5549621582031,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
29,368.0976867675781,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
30,371.9449462890625,4_6_18,0.7336137395947588,Chen Junjie,J,X,4,ji4
1,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
2,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
3,449.01519775390625,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
4,449.2746276855469,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
5,449.5342102050781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
6,449.5342102050781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
7,449.5342102050781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
8,449.5342102050781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
9,449.5342102050781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
10,449.2746276855469,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
11,449.01519775390625,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
12,449.01519775390625,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
13,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
14,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
15,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
16,448.4967041015625,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
17,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
18,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
19,448.7558898925781,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
20,448.4967041015625,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
21,447.9789123535156,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
22,447.461669921875,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
23,446.9450378417969,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
24,446.428955078125,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
25,446.171142578125,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
26,446.171142578125,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
27,445.91351318359375,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
28,445.91351318359375,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
29,445.91351318359375,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
30,446.171142578125,1_6_21,0.3570686343160361,Chen Junjie,J,X,1,duan1
1,337.546142578125,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
2,340.6802978515625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
3,349.6519775390625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
4,356.9991455078125,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
5,365.13287353515625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
6,373.667724609375,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
7,377.3551940917969,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
8,377.5732421875,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
9,376.2668762207031,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
10,370.0163269042969,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
11,365.3438720703125,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
12,362.61065673828125,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
13,362.61065673828125,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
14,364.7113037109375,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
15,365.5549621582031,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
16,367.0360412597656,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
17,367.0360412597656,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
18,366.8241271972656,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
19,371.7301330566406,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
20,382.4020690917969,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
21,389.3113708496094,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
22,394.7461242675781,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
23,399.5637512207031,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
24,403.9731750488281,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
25,405.84429931640625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
26,406.07879638671875,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
27,405.1416015625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
28,404.20660400390625,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
29,404.44012451171875,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
30,405.6099548339844,3_6_22,0.710891190138284,Chen Junjie,J,X,3,wu3
1,396.57452392578125,2_6_25,0.7693206030263724,Chen Junjie,J,X,2,chao2
