Syllable1,Syllable2,Normtime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,3,_HHAC1,124.9596265,125.380491,125.8196836,126.2758161,126.6146109,127.1179737,127.7765486,128.3952817,128.9901733,129.5608764,130.045022,130.4694483,130.8372998,131.100011,131.2841694,131.3961526,131.3939922,131.3505752,131.2705189,131.1413354,131.0203614,130.9073543,130.8163194,130.7004282,130.5583558,130.3228941,130.0114569,129.6346384,129.1494888,128.6686004,127.6733092,127.3245268,126.9252932,126.4423978,125.7143149,124.8332451,123.4621477,121.8035591,119.8628745,117.3260795,114.5739674,111.4325368,108.1082957,104.6775632,101.1806111,97.86682663,94.84482506,92.25828056,89.90317011,88.14325104,86.71662284,85.60486681,84.78558879,84.06451977,83.51459309,83.30889911,83.29047936,83.062499,82.76765554,82.37045659
1,3,_HHAC2,125.6917874,125.87648,126.0484612,126.2063176,126.2936742,126.4120596,126.5785056,126.7199946,126.8452124,126.9475664,127.0392343,127.1201781,127.1822219,127.2180781,127.2406025,127.2453526,127.2373377,127.2265481,127.2224674,127.2275527,127.238909,127.261145,127.2760261,127.2822991,127.2518232,127.196059,127.1187536,126.9847884,126.8015379,126.5738875,126.0456945,125.4795483,124.7058401,123.7217422,122.429045,120.9455769,119.2656229,117.1019221,114.8375132,112.4724442,109.7771333,106.9731113,104.0570913,101.2442409,98.47479863,95.7511517,93.29285538,91.02351316,88.9627257,87.33304937,85.9291523,84.77282066,83.9495579,83.26187483,82.7200992,82.68194329,82.5720249,82.33538474,81.97576865,81.76834861
1,3,_HHAC3,123.5987151,123.7063826,123.8439773,124.0237941,124.2147143,124.4658524,124.8961267,125.3900175,125.9193989,126.4813076,126.9865849,127.4326287,127.7266389,127.9552229,128.0784649,128.1084579,128.0973988,128.0453792,127.9879032,127.9261874,127.8606523,127.7949637,127.7291731,127.6579241,127.5837431,127.5038554,127.3913435,127.254633,127.015096,126.6977203,126.2912583,125.7533144,125.1082267,124.3414485,123.3385989,122.197259,120.8757378,119.1096321,117.1264111,114.8488512,112.2247025,109.417592,106.3467756,103.2692436,100.2383197,97.38705562,94.85182727,92.55880314,90.80226615,89.40349219,88.26350728,87.52537467,86.94857479,86.50457368,86.20569915,86.04321444,86.0218645,85.90717225,85.75995183,85.57448377
1,3,_HHAC4,125.2796249,125.2638633,125.261669,125.2740904,125.296981,125.3405654,125.4095371,125.5572835,125.7384042,125.9589267,126.208166,126.4661292,126.7328113,126.9381925,127.1093616,127.2333815,127.309814,127.3593013,127.3704535,127.3696797,127.3621086,127.3448539,127.3152157,127.2774759,127.2265477,127.1650853,127.0936271,126.9975972,126.868958,126.6923852,126.3322623,125.8854739,125.3091387,124.596417,123.446028,122.0796578,120.4746765,118.4078298,116.1106407,113.5475632,110.7741396,107.9620334,105.1195672,102.3472098,99.67790281,97.16083794,94.91240215,92.76720754,90.73579472,88.89161602,87.17085997,85.6290265,84.30317065,83.14320036,82.25050896,81.94014573,81.75134593,81.48774996,81.12988133,80.84237563
1,3,_HHAC5,125.6900525,125.8200586,125.9582588,126.1125116,126.240702,126.3589623,126.6599973,126.9883382,127.3669907,127.7677045,128.1773296,128.5514386,128.8568585,129.043113,129.0700474,129.021331,128.7757277,128.4859744,128.1240345,127.7687753,127.419909,127.1351813,126.8833729,126.6823345,126.5109018,126.3512397,126.2035759,126.053433,125.8996811,125.7306298,125.2007547,124.9242145,124.6084388,124.1950435,123.5992628,122.867783,121.8350871,120.6904093,119.179618,117.3901813,115.2365604,112.7857158,110.2171046,107.3193388,104.3512775,101.2140424,98.2800999,95.49322388,93.03674066,90.68568053,88.63603711,86.77995391,85.16989938,83.71983399,82.34703163,82.21099048,81.90954522,81.22289347,80.33838602,79.31472609
1,4,_HHAD1,124.6732485,124.8223147,124.9593288,125.0762065,125.1488382,125.2114589,125.3084198,125.3729472,125.4047411,125.3693028,125.3093306,125.2045084,125.0567792,124.88286,124.6694322,124.4548758,124.2387077,124.034216,123.8406836,123.6987449,123.5830983,123.4944807,123.4366077,123.3912066,123.3701717,123.3587573,123.3533309,123.3765114,123.4144918,123.4777342,123.6497066,123.7699339,123.8845056,123.9896813,124.0529096,124.0919765,124.0604596,123.9716973,123.8263674,123.5728212,123.2807757,122.9196935,122.5018424,122.0502244,121.5224054,120.968634,120.3728233,119.6921141,118.9694096,118.1503303,117.2574458,116.2933467,115.200928,114.0542716,112.8010883,112.3894363,112.4503991,111.7918561,110.9786831,109.9212534
1,4,_HHAD2,123.5955365,123.6862744,123.7938959,123.9231176,124.0290195,124.1688003,124.3889056,124.6277425,124.8730629,125.1200537,125.3449576,125.5522767,125.6975912,125.7987592,125.8574711,125.8296659,125.7672644,125.6575464,125.496724,125.3190674,125.1245642,124.9334456,124.7464133,124.5754352,124.4342087,124.3152519,124.2362675,124.1721343,124.1255595,124.1048782,124.0913629,124.117095,124.1535813,124.2111353,124.2923271,124.385162,124.4999769,124.612218,124.7197168,124.8058858,124.8802985,124.8788204,124.8378974,124.7285428,124.5111322,124.240957,123.8036654,123.3005117,122.6896699,121.9640671,121.1853593,120.2717967,119.2982019,118.2320206,117.1319817,116.0958888,116.086495,115.826116,115.2003507,114.2872637
1,4,_HHAD3,120.935985,121.3502821,121.7775451,122.2207578,122.4899849,122.8196432,123.3018825,123.7435055,124.1507159,124.4832377,124.77106,125.0322103,125.2522312,125.4058856,125.5095669,125.5232026,125.4986248,125.4333225,125.3180529,125.2020558,125.0907544,124.9801581,124.8713136,124.7666475,124.6646468,124.5637231,124.4631393,124.401379,124.3673804,124.3888675,124.5010903,124.5866448,124.6509028,124.6796463,124.6585221,124.6135863,124.5183084,124.4011015,124.2619177,124.0631005,123.8323118,123.5310186,123.159301,122.7451574,122.140092,121.4910134,120.7685439,119.9559723,119.0973727,118.1268145,117.1069974,116.0375998,114.7665132,113.428246,111.9751111,111.4733157,111.5472942,110.7188518,109.6748116,108.2711882
1,4,_HHAD4,123.8723833,124.0621424,124.2582266,124.4630523,124.6243102,124.8250617,125.1623203,125.5173211,125.8788086,126.2230773,126.5380066,126.8257262,127.0261058,127.1879523,127.2910501,127.3383363,127.3618775,127.3536644,127.3348338,127.3090312,127.2728793,127.2337072,127.1909533,127.1398648,127.0858993,127.0278849,126.9701329,126.914533,126.8718714,126.8460489,126.8336465,126.8572989,126.895795,126.9584964,127.0446274,127.1400682,127.2472756,127.3536931,127.4593831,127.5440135,127.6076508,127.6234643,127.5503005,127.4259674,127.1726928,126.8441126,126.4120357,125.824076,125.1760368,124.4313343,123.5742543,122.6294339,121.5021931,120.3237076,119.0610362,118.7104741,118.6888812,118.0149927,117.1303615,116.0005217
1,4,_HHAD5,124.7302452,124.8472351,124.9709417,125.104307,125.2237209,125.3711134,125.6220949,125.8878322,126.162385,126.4470211,126.7277654,127.0039603,127.2682857,127.5204313,127.7459541,127.9421695,128.1223746,128.2766263,128.4171283,128.5445212,128.6249897,128.6688232,128.6470025,128.5514523,128.416104,128.2017957,127.9860803,127.7692719,127.6174487,127.4889168,127.3949768,127.3772012,127.3760719,127.392203,127.4602593,127.5677872,127.718254,127.9722324,128.2826904,128.6562095,129.0580508,129.4323104,129.7688817,129.9545284,130.0127817,129.9104077,129.5346614,129.0304665,128.3746775,127.5491482,126.6410505,125.6329718,124.4929604,123.2526098,121.8705181,121.8007774,121.6488183,120.9214237,119.7993798,118.9936938
