"Syllable1","Syllable2","time","f0_norm_bk","speaker","pitch_con","syl","tone","prev"
"1","1",15,0.0149652969815053,"s2","_HHAA2_s2_1","1","1","none"
"1","1",16,0.0212592914767116,"s2","_HHAA2_s2_1","1","1","none"
"1","1",17,0.0273542699349918,"s2","_HHAA2_s2_1","1","1","none"
"1","1",18,0.032916695817564,"s2","_HHAA2_s2_1","1","1","none"
"1","1",19,0.0380710532653328,"s2","_HHAA2_s2_1","1","1","none"
"1","1",20,0.0424783568436287,"s2","_HHAA2_s2_1","1","1","none"
"1","1",21,0.0463109306361769,"s2","_HHAA2_s2_1","1","1","none"
"1","1",22,0.0497411999345896,"s2","_HHAA2_s2_1","1","1","none"
"1","1",23,0.052276950899022,"s2","_HHAA2_s2_1","1","1","none"
"1","1",24,0.0545548612107274,"s2","_HHAA2_s2_1","1","1","none"
"1","1",25,0.0557759731780927,"s2","_HHAA2_s2_1","1","1","none"
"1","1",26,0.0569284513133175,"s2","_HHAA2_s2_1","1","1","none"
"1","1",27,0.057916284226704,"s2","_HHAA2_s2_1","1","1","none"
"1","1",28,0.0590330705749613,"s2","_HHAA2_s2_1","1","1","none"
"1","1",29,0.0602644664581407,"s2","_HHAA2_s2_1","1","1","none"
"1","1",30,0.0621097921760747,"s2","_HHAA2_s2_1","1","1","none"
"1","1",1,-0.0155229854868917,"s3","_HHAA2_s3_1","1","1","none"
"1","1",2,-0.0147652032280241,"s3","_HHAA2_s3_1","1","1","none"
"1","1",3,-0.0137259976140931,"s3","_HHAA2_s3_1","1","1","none"
"1","1",4,-0.0122227449799905,"s3","_HHAA2_s3_1","1","1","none"
"1","1",5,-0.0111229975207714,"s3","_HHAA2_s3_1","1","1","none"
"1","1",6,-0.00998536502898761,"s3","_HHAA2_s3_1","1","1","none"
"1","1",7,-0.00774248250485265,"s3","_HHAA2_s3_1","1","1","none"
"1","1",8,-0.00534308942329598,"s3","_HHAA2_s3_1","1","1","none"
"1","1",9,-0.00279336326721658,"s3","_HHAA2_s3_1","1","1","none"
"1","1",10,-0.000551733655053344,"s3","_HHAA2_s3_1","1","1","none"
"1","1",11,0.00152456681991087,"s3","_HHAA2_s3_1","1","1","none"
"1","1",12,0.00325085012619564,"s3","_HHAA2_s3_1","1","1","none"
"1","1",13,0.00461191380593751,"s3","_HHAA2_s3_1","1","1","none"
"1","1",14,0.00575743909282544,"s3","_HHAA2_s3_1","1","1","none"
"1","1",15,0.00629906589841167,"s3","_HHAA2_s3_1","1","1","none"
"1","1",16,0.00671860411521052,"s3","_HHAA2_s3_1","1","1","none"
"1","1",17,0.00695311056118109,"s3","_HHAA2_s3_1","1","1","none"
"1","1",18,0.00699968890375824,"s3","_HHAA2_s3_1","1","1","none"
"1","1",19,0.00696346941703396,"s3","_HHAA2_s3_1","1","1","none"
"1","1",20,0.00677032254791343,"s3","_HHAA2_s3_1","1","1","none"
"1","1",21,0.0064703042937071,"s3","_HHAA2_s3_1","1","1","none"
"1","1",22,0.00607551619120361,"s3","_HHAA2_s3_1","1","1","none"
"1","1",23,0.00544088434087131,"s3","_HHAA2_s3_1","1","1","none"
"1","1",24,0.00472816118907726,"s3","_HHAA2_s3_1","1","1","none"
"1","1",25,0.0038808636014207,"s3","_HHAA2_s3_1","1","1","none"
"1","1",26,0.00299214071910558,"s3","_HHAA2_s3_1","1","1","none"
"1","1",27,0.00210731962436816,"s3","_HHAA2_s3_1","1","1","none"
"1","1",28,0.0018224725607241,"s3","_HHAA2_s3_1","1","1","none"
"1","1",29,0.00190596295375123,"s3","_HHAA2_s3_1","1","1","none"
"1","1",30,0.002503305946572,"s3","_HHAA2_s3_1","1","1","none"
"1","1",1,-0.00184416734056048,"s1","_HHAA3_s1_1","1","1","none"
"1","1",2,-0.00165991452164649,"s1","_HHAA3_s1_1","1","1","none"
"1","1",3,-0.00147695770650857,"s1","_HHAA3_s1_1","1","1","none"
"1","1",4,-0.00129635054843824,"s1","_HHAA3_s1_1","1","1","none"
"1","1",5,-0.0011620230018563,"s1","_HHAA3_s1_1","1","1","none"
"1","1",6,-0.0010403780202981,"s1","_HHAA3_s1_1","1","1","none"
"1","1",7,-0.00083107313734887,"s1","_HHAA3_s1_1","1","1","none"
"1","1",8,-0.000629117433237347,"s1","_HHAA3_s1_1","1","1","none"
"1","1",9,-0.000437265102651851,"s1","_HHAA3_s1_1","1","1","none"
"1","1",10,-0.000242283509580332,"s1","_HHAA3_s1_1","1","1","none"
"1","1",11,-4.17678672162136e-05,"s1","_HHAA3_s1_1","1","1","none"
"1","1",12,0.000189325336152679,"s1","_HHAA3_s1_1","1","1","none"
"1","1",13,0.000515505861828469,"s1","_HHAA3_s1_1","1","1","none"
"1","1",14,0.000941910154411474,"s1","_HHAA3_s1_1","1","1","none"
"1","1",15,0.00147318340479519,"s1","_HHAA3_s1_1","1","1","none"
"1","1",16,0.00203967808137229,"s1","_HHAA3_s1_1","1","1","none"
"1","1",17,0.00266945658399109,"s1","_HHAA3_s1_1","1","1","none"
"1","1",18,0.00332939002855426,"s1","_HHAA3_s1_1","1","1","none"
"1","1",19,0.00401373063685506,"s1","_HHAA3_s1_1","1","1","none"
"1","1",20,0.00434626859403053,"s1","_HHAA3_s1_1","1","1","none"
"1","1",21,0.00450666435034841,"s1","_HHAA3_s1_1","1","1","none"
"1","1",22,0.00428499621512324,"s1","_HHAA3_s1_1","1","1","none"
"1","1",23,0.00365111161952325,"s1","_HHAA3_s1_1","1","1","none"
"1","1",24,0.00276286250170577,"s1","_HHAA3_s1_1","1","1","none"
"1","1",25,0.00107701135246407,"s1","_HHAA3_s1_1","1","1","none"
"1","1",26,-0.000759822563578538,"s1","_HHAA3_s1_1","1","1","none"
"1","1",27,-0.00286063572581785,"s1","_HHAA3_s1_1","1","1","none"
"1","1",28,-0.00503965169283793,"s1","_HHAA3_s1_1","1","1","none"
"1","1",29,-0.00724586201444688,"s1","_HHAA3_s1_1","1","1","none"
"1","1",30,-0.00923382453512955,"s1","_HHAA3_s1_1","1","1","none"
"1","1",1,-0.091275220641901,"s2","_HHAA3_s2_1","1","1","none"
"1","1",2,-0.0887266250506293,"s2","_HHAA3_s2_1","1","1","none"
"1","1",3,-0.0858759132698212,"s2","_HHAA3_s2_1","1","1","none"
"1","1",4,-0.0816022725265875,"s2","_HHAA3_s2_1","1","1","none"
"1","1",5,-0.0774535553151698,"s2","_HHAA3_s2_1","1","1","none"
"1","1",6,-0.0735359136205063,"s2","_HHAA3_s2_1","1","1","none"
"1","1",7,-0.0670880149376363,"s2","_HHAA3_s2_1","1","1","none"
