"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"12",125.6917874,125.87648,126.0484612,126.2063176,126.2936742,126.4120596,126.5785056,126.7199946,126.8452124,126.9475664,127.0392343,127.1201781,127.1822219,127.2180781,127.2406025,127.2453526,127.2373377,127.2265481,127.2224674,127.2275527,127.238909,127.261145,127.2760261,127.2822991,127.2518232,127.196059,127.1187536,126.9847884,126.8015379,126.5738875
"13",123.5987151,123.7063826,123.8439773,124.0237941,124.2147143,124.4658524,124.8961267,125.3900175,125.9193989,126.4813076,126.9865849,127.4326287,127.7266389,127.9552229,128.0784649,128.1084579,128.0973988,128.0453792,127.9879032,127.9261874,127.8606523,127.7949637,127.7291731,127.6579241,127.5837431,127.5038554,127.3913435,127.254633,127.015096,126.6977203
"14",125.2796249,125.2638633,125.261669,125.2740904,125.296981,125.3405654,125.4095371,125.5572835,125.7384042,125.9589267,126.208166,126.4661292,126.7328113,126.9381925,127.1093616,127.2333815,127.309814,127.3593013,127.3704535,127.3696797,127.3621086,127.3448539,127.3152157,127.2774759,127.2265477,127.1650853,127.0936271,126.9975972,126.868958,126.6923852
"15",125.6900525,125.8200586,125.9582588,126.1125116,126.240702,126.3589623,126.6599973,126.9883382,127.3669907,127.7677045,128.1773296,128.5514386,128.8568585,129.043113,129.0700474,129.021331,128.7757277,128.4859744,128.1240345,127.7687753,127.419909,127.1351813,126.8833729,126.6823345,126.5109018,126.3512397,126.2035759,126.053433,125.8996811,125.7306298
"16",124.6732485,124.8223147,124.9593288,125.0762065,125.1488382,125.2114589,125.3084198,125.3729472,125.4047411,125.3693028,125.3093306,125.2045084,125.0567792,124.88286,124.6694322,124.4548758,124.2387077,124.034216,123.8406836,123.6987449,123.5830983,123.4944807,123.4366077,123.3912066,123.3701717,123.3587573,123.3533309,123.3765114,123.4144918,123.4777342
"17",123.5955365,123.6862744,123.7938959,123.9231176,124.0290195,124.1688003,124.3889056,124.6277425,124.8730629,125.1200537,125.3449576,125.5522767,125.6975912,125.7987592,125.8574711,125.8296659,125.7672644,125.6575464,125.496724,125.3190674,125.1245642,124.9334456,124.7464133,124.5754352,124.4342087,124.3152519,124.2362675,124.1721343,124.1255595,124.1048782
"18",120.935985,121.3502821,121.7775451,122.2207578,122.4899849,122.8196432,123.3018825,123.7435055,124.1507159,124.4832377,124.77106,125.0322103,125.2522312,125.4058856,125.5095669,125.5232026,125.4986248,125.4333225,125.3180529,125.2020558,125.0907544,124.9801581,124.8713136,124.7666475,124.6646468,124.5637231,124.4631393,124.401379,124.3673804,124.3888675
"19",123.8723833,124.0621424,124.2582266,124.4630523,124.6243102,124.8250617,125.1623203,125.5173211,125.8788086,126.2230773,126.5380066,126.8257262,127.0261058,127.1879523,127.2910501,127.3383363,127.3618775,127.3536644,127.3348338,127.3090312,127.2728793,127.2337072,127.1909533,127.1398648,127.0858993,127.0278849,126.9701329,126.914533,126.8718714,126.8460489
"20",124.7302452,124.8472351,124.9709417,125.104307,125.2237209,125.3711134,125.6220949,125.8878322,126.162385,126.4470211,126.7277654,127.0039603,127.2682857,127.5204313,127.7459541,127.9421695,128.1223746,128.2766263,128.4171283,128.5445212,128.6249897,128.6688232,128.6470025,128.5514523,128.416104,128.2017957,127.9860803,127.7692719,127.6174487,127.4889168
"21",118.8090363,118.4999926,118.1631802,117.7959876,117.4627893,116.9568484,116.2222705,115.4349697,114.6260562,113.7912289,112.8909011,111.9667862,111.016623,110.088933,109.214138,108.4524115,107.8973856,107.4759639,107.2722997,107.2525198,107.3376486,107.5638992,107.8822861,108.2606995,108.7302964,109.2285961,109.7560193,110.380586,111.0666475,111.8236541
