"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","3",24,0.766374333333331,"s1","_HLBC5_s1_1","1","2","none"
"2","3",25,1.56236413333333,"s1","_HLBC5_s1_1","1","2","none"
"2","3",26,2.24195473333334,"s1","_HLBC5_s1_1","1","2","none"
"2","3",27,2.79233553333334,"s1","_HLBC5_s1_1","1","2","none"
"2","3",28,3.13445303333334,"s1","_HLBC5_s1_1","1","2","none"
"2","3",29,3.32862023333334,"s1","_HLBC5_s1_1","1","2","none"
"2","3",30,3.36981323333333,"s1","_HLBC5_s1_1","1","2","none"
"2","3",1,6.33425173666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",2,6.25809003666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",3,5.96149503666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",4,5.39500533666666,"s2","_HLBC5_s2_1","1","2","none"
"2","3",5,5.03231673666664,"s2","_HLBC5_s2_1","1","2","none"
"2","3",6,4.37007113666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",7,3.10557643666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",8,1.31923413666667,"s2","_HLBC5_s2_1","1","2","none"
"2","3",9,-0.637405363333357,"s2","_HLBC5_s2_1","1","2","none"
"2","3",10,-2.71061856333336,"s2","_HLBC5_s2_1","1","2","none"
"2","3",11,-4.86162196333333,"s2","_HLBC5_s2_1","1","2","none"
"2","3",12,-6.96328026333335,"s2","_HLBC5_s2_1","1","2","none"
"2","3",13,-8.58248646333334,"s2","_HLBC5_s2_1","1","2","none"
"2","3",14,-9.68734416333335,"s2","_HLBC5_s2_1","1","2","none"
"2","3",15,-10.4106367633333,"s2","_HLBC5_s2_1","1","2","none"
"2","3",16,-10.4373166633333,"s2","_HLBC5_s2_1","1","2","none"
"2","3",17,-10.0103866633333,"s2","_HLBC5_s2_1","1","2","none"
"2","3",18,-9.12184286333334,"s2","_HLBC5_s2_1","1","2","none"
