"","Syllable1","Syllable2","Normtime","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","speaker","pitch_con","syl","tone","prevsyl"
"1553","2","3","_LLBC3",130.1654279,131.5041087,132.8427896,133.8955404,134.932165,135.3422659,135.6774716,135.290756,134.7663625,133.40796,131.8230887,129.5095815,126.9307428,124.0447927,121.0141001,117.8348194,114.5668722,111.3216695,108.0934235,105.0148967,102.0748467,99.30608001,96.73349901,95.11880872,94.8671047,94.27922622,93.09198793,91.71091013,89.89010831,88.5291733,"s2","_LLBC3_s2_2","2","3","2"
"1554","2","3","_LLBC4",125.7421717,126.4843338,127.1976232,127.4643822,127.6454118,127.2063802,126.6116621,125.3181416,123.7948575,121.5555402,119.051609,115.940888,112.6699836,109.1196771,105.5348401,101.9033099,98.39201528,95.00795329,91.86035956,88.90891797,86.10108489,83.38610284,80.84429873,78.38854146,77.66423169,77.58424627,76.6298316,75.44230986,73.50381208,71.43305855,"s2","_LLBC4_s2_2","2","3","2"
"1555","2","3","_LLBC5",123.3833882,124.2873671,125.111372,125.6256043,125.9642912,126.0507708,125.638824,124.9156245,123.3347401,121.5372314,118.6392954,115.5025669,111.5716581,107.4882863,103.2079843,98.97499282,94.76843374,91.10612513,87.58634972,84.87018428,82.33488611,80.32208674,78.59242817,77.19203656,76.60460584,76.42206867,75.97130555,75.45864079,74.67634896,74.11553993,"s2","_LLBC5_s2_2","2","3","2"
"1556","2","4","_LLBD1",114.308981,116.3183603,118.3969846,120.7057115,122.868808,124.8627532,126.4321797,127.81439,128.4802597,128.9712004,128.8315722,128.4905562,127.8317771,126.8540858,125.6802985,124.1887996,122.6153749,120.7492361,118.78938,116.6240121,114.38791,112.092639,109.6816257,107.254756,107.2682508,106.9893814,105.7768973,104.1876599,102.173221,101.571132,"s2","_LLBD1_s2_2","2","4","2"
"1557","2","4","_LLBD2",106.5428958,107.9466594,109.3618254,110.8032094,112.2454175,113.6881609,114.8458328,115.8964197,116.6553333,117.2875392,117.8006325,118.0827661,118.2883928,118.3112687,118.2009108,117.9100866,117.3910487,116.7755493,115.8115212,114.7528043,113.5052653,112.1349072,110.6945825,109.0375809,107.7963381,107.8913795,107.52507,106.7756801,105.5050005,104.3498237,"s2","_LLBD2_s2_2","2","4","2"
"1558","2","4","_LLBD3",112.1752744,113.8655487,115.5596811,117.2671411,118.860858,120.3149855,121.4824109,122.5108364,123.0719425,123.5330555,123.6581301,123.6796023,123.5060778,123.1752096,122.7263463,122.0596844,121.3306311,120.2874287,119.1902529,117.9266934,116.5522567,115.0525017,113.3548728,111.5699654,111.5727616,111.59358,110.7700879,109.6959645,108.1903042,107.5758408,"s2","_LLBD3_s2_2","2","4","2"
"1559","2","4","_LLBD4",106.8770454,108.1661863,109.4500507,110.6814364,111.8903311,112.9986284,114.0570271,114.9832689,115.8357742,116.5602446,117.1905411,117.708855,118.0758331,118.3180721,118.3504732,118.2646,117.9156352,117.4698027,116.6905811,115.8392911,114.6830377,113.4969571,112.1125112,110.8623643,110.8719483,110.7387146,109.9874168,109.1099479,107.9065245,107.1488773,"s2","_LLBD4_s2_2","2","4","2"
"1560","2","4","_LLBD5",107.6816045,109.1506853,110.6456214,112.2895182,113.9749387,115.7592131,117.4743172,119.1026972,120.5781233,121.9479606,123.042971,124.0411697,124.5434794,124.9640848,124.8713968,124.6692771,123.9792564,123.1260419,121.9431382,120.5788856,119.0173833,117.2956225,115.4784838,113.6343326,111.78233,111.5662032,111.4260487,110.4819191,109.4045395,107.8505732,"s2","_LLBD5_s2_2","2","4","2"
"1561","3","1","_LLCA1",78.92609735,79.19236761,79.59757267,80.14253254,81.03963515,82.18012437,83.55843745,85.36279256,87.39214126,89.63688481,92.26835321,94.97215036,97.73657087,100.4514867,103.0137047,105.4247425,107.3860763,109.0908957,110.5645287,111.6338047,112.5218254,113.2543985,113.7715679,114.1581686,114.4366241,114.5781324,114.6792088,114.7434431,114.7250066,114.6952966,"s2","_LLCA1_s2_2","2","1","3"
"1562","3","1","_LLCA2",79.74657747,80.20288794,80.86775595,81.79684782,83.39916381,85.32490347,87.73935238,90.4957705,93.41908571,96.58020991,99.6191052,102.5635487,105.2205894,107.7250825,110.0937706,112.0215233,113.7611585,115.2509388,116.3659015,117.2783392,117.8595512,118.1459945,118.2637327,118.0896307,117.7373132,117.3075043,117.4157433,117.2868128,116.9199447,116.2803008,"s2","_LLCA2_s2_2","2","1","3"
