"Syllable1","Syllable2","time","f0_norm_ct","speaker","pitch_con","syl","tone","prev"
"1","1",28,2.42498106418589,"s3","_HHAA2_s3_1","1","1","none"
"1","1",29,2.53478718346378,"s3","_HHAA2_s3_1","1","1","none"
"1","1",30,3.3202135774975,"s3","_HHAA2_s3_1","1","1","none"
"1","1",1,-2.50208072266605,"s1","_HHAA3_s1_1","1","1","none"
"1","1",2,-2.25140885483893,"s1","_HHAA3_s1_1","1","1","none"
"1","1",3,-2.00253489319107,"s1","_HHAA3_s1_1","1","1","none"
"1","1",4,-1.75689106774848,"s1","_HHAA3_s1_1","1","1","none"
"1","1",5,-1.57421400133853,"s1","_HHAA3_s1_1","1","1","none"
"1","1",6,-1.40880051071736,"s1","_HHAA3_s1_1","1","1","none"
"1","1",7,-1.12422238497425,"s1","_HHAA3_s1_1","1","1","none"
"1","1",8,-0.84967932538234,"s1","_HHAA3_s1_1","1","1","none"
"1","1",9,-0.588910000004944,"s1","_HHAA3_s1_1","1","1","none"
"1","1",10,-0.323926228297523,"s1","_HHAA3_s1_1","1","1","none"
"1","1",11,-0.0514624704421749,"s1","_HHAA3_s1_1","1","1","none"
"1","1",12,0.262499133533765,"s1","_HHAA3_s1_1","1","1","none"
"1","1",13,0.705552039854638,"s1","_HHAA3_s1_1","1","1","none"
"1","1",14,1.2845741958472,"s1","_HHAA3_s1_1","1","1","none"
"1","1",15,2.00573795392347,"s1","_HHAA3_s1_1","1","1","none"
"1","1",16,2.77439235003476,"s1","_HHAA3_s1_1","1","1","none"
"1","1",17,3.62852698738516,"s1","_HHAA3_s1_1","1","1","none"
"1","1",18,4.52312225358287,"s1","_HHAA3_s1_1","1","1","none"
"1","1",19,5.45033175016852,"s1","_HHAA3_s1_1","1","1","none"
"1","1",20,5.90071243519333,"s1","_HHAA3_s1_1","1","1","none"
"1","1",21,6.11790775680674,"s1","_HHAA3_s1_1","1","1","none"
"1","1",22,5.81773524403479,"s1","_HHAA3_s1_1","1","1","none"
"1","1",23,4.95908093982462,"s1","_HHAA3_s1_1","1","1","none"
"1","1",24,3.75517371446313,"s1","_HHAA3_s1_1","1","1","none"
"1","1",25,1.46799152144899,"s1","_HHAA3_s1_1","1","1","none"
"1","1",26,-1.02735796994762,"s1","_HHAA3_s1_1","1","1","none"
"1","1",27,-3.88559461946102,"s1","_HHAA3_s1_1","1","1","none"
"1","1",28,-6.85505825955693,"s1","_HHAA3_s1_1","1","1","none"
"1","1",29,-9.86660796686465,"s1","_HHAA3_s1_1","1","1","none"
"1","1",30,-12.5845890006692,"s1","_HHAA3_s1_1","1","1","none"
"1","1",1,-101.086547993584,"s2","_HHAA3_s2_1","1","1","none"
"1","1",2,-98.1531580768494,"s2","_HHAA3_s2_1","1","1","none"
"1","1",3,-94.8776444622024,"s2","_HHAA3_s2_1","1","1","none"
"1","1",4,-89.9782063140321,"s2","_HHAA3_s2_1","1","1","none"
"1","1",5,-85.2345957326647,"s2","_HHAA3_s2_1","1","1","none"
"1","1",6,-80.7665387247439,"s2","_HHAA3_s2_1","1","1","none"
"1","1",7,-73.4365715642627,"s2","_HHAA3_s2_1","1","1","none"
"1","1",8,-63.5586442147642,"s2","_HHAA3_s2_1","1","1","none"
"1","1",9,-52.6665765748126,"s2","_HHAA3_s2_1","1","1","none"
"1","1",10,-41.3886563748986,"s2","_HHAA3_s2_1","1","1","none"
"1","1",11,-30.403778279473,"s2","_HHAA3_s2_1","1","1","none"
"1","1",12,-19.6143792966307,"s2","_HHAA3_s2_1","1","1","none"
"1","1",13,-10.6492630858627,"s2","_HHAA3_s2_1","1","1","none"
"1","1",14,-2.1132286827542,"s2","_HHAA3_s2_1","1","1","none"
"1","1",15,5.07779216460835,"s2","_HHAA3_s2_1","1","1","none"
"1","1",16,11.7799468298947,"s2","_HHAA3_s2_1","1","1","none"
