"time","f0_norm","Syllable1","Syllable2","Normtime","speaker","pitch_con"
17,6.09931436144961,"1","1","_HHAA1","s3","_HHAA1_s3_2"
18,5.98121847685411,"1","1","_HHAA1","s3","_HHAA1_s3_2"
19,5.81867825769791,"1","1","_HHAA1","s3","_HHAA1_s3_2"
20,5.43443211169551,"1","1","_HHAA1","s3","_HHAA1_s3_2"
21,4.95956149649237,"1","1","_HHAA1","s3","_HHAA1_s3_2"
22,4.25926304246173,"1","1","_HHAA1","s3","_HHAA1_s3_2"
23,3.39174217309096,"1","1","_HHAA1","s3","_HHAA1_s3_2"
24,2.35311726087184,"1","1","_HHAA1","s3","_HHAA1_s3_2"
25,2.10370079191171,"1","1","_HHAA1","s3","_HHAA1_s3_2"
26,2.1886510956615,"1","1","_HHAA1","s3","_HHAA1_s3_2"
27,1.55653270734479,"1","1","_HHAA1","s3","_HHAA1_s3_2"
28,0.797975488400198,"1","1","_HHAA1","s3","_HHAA1_s3_2"
29,-0.375527597141172,"1","1","_HHAA1","s3","_HHAA1_s3_2"
30,-1.16671971871779,"1","1","_HHAA1","s3","_HHAA1_s3_2"
1,-18.6829297269023,"1","1","_HHAA2","s1","_HHAA2_s1_1"
2,-17.1348334926092,"1","1","_HHAA2","s1","_HHAA2_s1_1"
3,-15.5621697770887,"1","1","_HHAA2","s1","_HHAA2_s1_1"
4,-13.9630886577968,"1","1","_HHAA2","s1","_HHAA2_s1_1"
5,-12.8242087068602,"1","1","_HHAA2","s1","_HHAA2_s1_1"
6,-11.1013322592366,"1","1","_HHAA2","s1","_HHAA2_s1_1"
7,-8.63529387636459,"1","1","_HHAA2","s1","_HHAA2_s1_1"
8,-5.92226887281959,"1","1","_HHAA2","s1","_HHAA2_s1_1"
9,-3.17330596761417,"1","1","_HHAA2","s1","_HHAA2_s1_1"
10,-0.398669445219412,"1","1","_HHAA2","s1","_HHAA2_s1_1"
11,2.28803930401477,"1","1","_HHAA2","s1","_HHAA2_s1_1"
12,4.81133545667899,"1","1","_HHAA2","s1","_HHAA2_s1_1"
13,7.08269231970894,"1","1","_HHAA2","s1","_HHAA2_s1_1"
14,8.87659972583651,"1","1","_HHAA2","s1","_HHAA2_s1_1"
15,10.445014882471,"1","1","_HHAA2","s1","_HHAA2_s1_1"
16,11.7306214869268,"1","1","_HHAA2","s1","_HHAA2_s1_1"
17,12.5883962325474,"1","1","_HHAA2","s1","_HHAA2_s1_1"
18,13.1839982088125,"1","1","_HHAA2","s1","_HHAA2_s1_1"
19,13.3919338246576,"1","1","_HHAA2","s1","_HHAA2_s1_1"
20,13.1768758784719,"1","1","_HHAA2","s1","_HHAA2_s1_1"
21,12.6328914424698,"1","1","_HHAA2","s1","_HHAA2_s1_1"
22,11.5051807833647,"1","1","_HHAA2","s1","_HHAA2_s1_1"
23,9.7795162986763,"1","1","_HHAA2","s1","_HHAA2_s1_1"
24,7.65441467296114,"1","1","_HHAA2","s1","_HHAA2_s1_1"
25,4.86963685053547,"1","1","_HHAA2","s1","_HHAA2_s1_1"
26,1.39806822375817,"1","1","_HHAA2","s1","_HHAA2_s1_1"
