slope,height,strength,duration,tone,pitch_con,numPoints
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-10,-0.760856334,80,133.4074283,2,meng_2_45,10
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-16,-1.838831849,60,111.2977374,3,meng_3_47,8
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-41,-0.116828712,80,76.09667465,1,meng_1_51,6
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-22,-1.354991958,80,124.487223,4,meng_4_53,10
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
-70,14.77986004,10,194.8696701,4,meng_4_54,14
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
0,-0.894014051,0,151.3118003,2,meng_2_57,12
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
-14,-1.427825187,80,133.3153669,4,meng_4_58,10
